Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-de.uni-greifswald.medizin.cll-guideline.json	24118	-	0	0	0	0	0	0	5	112	1	0	0	0	0	0	0	1	0	0	104	116	0	0	0	4	0	1
fsh-generated/resources/ActivityDefinition-AbdomialUltrasonographyCLL.json	2331	11	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	19	16	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-AssessmentComorbiditiesCLL.json	2335	3	0	0	0	1	0	0	1	11	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-AssessmentECOGScoreCLL.json	2317	4	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-AssessmentKarnofskyIndexCLL.json	2340	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-BinetStagingCLL.json	2362	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-CLLPatientInCLLRelapseStudy.json	984	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-CMVAntibodyIgGCLL.json	2421	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-CMVAntibodyIgMCLL.json	2421	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	1
fsh-generated/resources/ActivityDefinition-CMVPCRCLL.json	1532	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-ClinicalChemistryTestCLL.json	2321	5	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-CompleteBloodCountAutomatedCLL.json	2421	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-ErstlinieMitBCL2beiCLL.json	1641	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-ErstlinieMitBTKbeiCLL.json	1657	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
